Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-180324-MesureE7-100MHz
1	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,996658843E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,21	18,33	E1 att:	-77,20000
2	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,997643635E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,21	18,34	E1 a:	10,30171
3	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,999613218E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,20	18,32	E1 b:	-51,73648
4	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,997643635E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,20	18,33	E2 att:	-77,40000
5	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,031892993E+0	-3,000000000E+1	NaN	NaN	0,000000000E+0	18,35	1413,10	18,22	18,32	E2 a:	10,25929
6	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,131356637E+0	-2,900000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,19	18,32	E2 b:	-51,24233
7	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,246905198E+0	-2,800000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,19	18,33	E3 att:	-77,20000
8	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	2,340460171E+0	-2,700000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,21	18,34	E3 a:	10,32683
9	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,431389065E+0	-2,600000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,21	18,32	E3 b:	-51,58608
10	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,527241935E+0	-2,500000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,23	18,33	E4 att:	-76,80000
11	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,610949090E+0	-2,400000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,21	18,33	E4 a:	10,29834
12	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,703847647E+0	-2,300000000E+1	NaN	NaN	0,000000000E+0	18,35	1413,10	18,21	18,33	E4 b:	-51,48216
13	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,801670187E+0	-2,200000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,22	18,34	E5 att:	-76,90000
14	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,898836234E+0	-2,100000000E+1	NaN	NaN	0,000000000E+0	18,32	1413,10	18,22	18,33	E5 a:	10,28806
15	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,998628426E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,20	18,33	E5 b:	-51,33708
16	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	3,104329407E+0	-1,900000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,21	18,32	E6 att:	-78,20000
17	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,184425831E+0	-1,800000000E+1	NaN	NaN	0,000000000E+0	18,31	1413,10	18,22	18,32	E6 a:	10,32523
18	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	3,276668054E+0	-1,700000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,20	18,32	E6 b:	-51,47335
19	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,385980057E+0	-1,600000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,20	18,31	E7 att:	-76,60000
20	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	3,488726819E+0	-1,500000000E+1	NaN	NaN	0,000000000E+0	18,32	1413,10	18,22	18,32	E7 a:	10,35050
21	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,584908333E+0	-1,400000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,21	18,32	E7 b:	-51,62198
22	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,689624770E+0	-1,300000000E+1	NaN	NaN	0,000000000E+0	18,34	1413,10	18,20	18,32	E8 att:	NaN
23	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	3,776614949E+0	-1,200000000E+1	NaN	NaN	0,000000000E+0	18,32	1413,10	18,20	18,33	E8 a:	NaN
24	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,873124848E+0	-1,100000000E+1	NaN	NaN	0,000000000E+0	18,33	1413,10	18,19	18,34	E8 b:	NaN
25	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,972260910E+0	-1,000000000E+1	NaN	NaN	0,000000000E+0	18,32	1413,10	18,20	18,32	E9 att:	NaN
26	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,074351406E+0	-9,000000000E+0	NaN	NaN	0,000000000E+0	18,34	1413,10	18,20	18,32	E9 a:	NaN
27	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,171846233E+0	-8,000000000E+0	NaN	NaN	0,000000000E+0	18,34	1413,10	18,20	18,31	E9 b:	NaN
28	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	4,276562950E+0	-7,000000000E+0	NaN	NaN	0,000000000E+0	18,34	1413,10	18,21	18,31	NI9205_MP1l a:	1210,00000
29	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	4,368477354E+0	-6,000000000E+0	NaN	NaN	0,000000000E+0	18,33	1413,10	18,20	18,31	NI9205_MP2l a:	1210,00000
30	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,454811279E+0	-5,000000000E+0	NaN	NaN	0,000000000E+0	18,33	1413,10	18,18	18,32	NI9205_MP3l a:	1210,00000
31	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,551649757E+0	-4,000000000E+0	NaN	NaN	0,000000000E+0	18,34	1413,10	18,22	18,32	NI9205_MP4l a:	1210,00000
32	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,649801347E+0	-3,000000000E+0	NaN	NaN	0,000000000E+0	18,34	1413,10	18,19	18,31	NI9205_MP5l a:	1210,00000
33	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,753205251E+0	-2,000000000E+0	NaN	NaN	0,000000000E+0	18,31	1413,10	18,20	18,32	NI9205_MP6l a:	1220,00000
