Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-173114-MesureE5-120MHz
24	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,777928009E+0	-1,200000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,93	18,09	E8 b:	NaN
25	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,869842198E+0	-1,100000000E+1	NaN	NaN	0,000000000E+0	18,13	1413,09	17,96	18,10	E9 att:	NaN
26	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,970947849E+0	-1,000000000E+1	NaN	NaN	0,000000000E+0	18,13	1413,09	17,96	18,09	E9 a:	NaN
27	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,072710079E+0	-9,000000000E+0	NaN	NaN	0,000000000E+0	18,12	1413,09	17,94	18,07	E9 b:	NaN
28	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	4,171189702E+0	-8,000000000E+0	NaN	NaN	0,000000000E+0	18,13	1413,09	17,95	18,08	NI9205_MP1l a:	1210,00000
29	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,269012841E+0	-7,000000000E+0	NaN	NaN	0,000000000E+0	18,12	1413,09	17,96	18,09	NI9205_MP2l a:	1210,00000
30	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,361583773E+0	-6,000000000E+0	NaN	NaN	0,000000000E+0	18,14	1413,09	17,95	18,08	NI9205_MP3l a:	1210,00000
31	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,447589429E+0	-5,000000000E+0	NaN	NaN	0,000000000E+0	18,11	1413,09	17,96	18,10	NI9205_MP4l a:	1210,00000
32	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,548695362E+0	-4,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,96	18,09	NI9205_MP5l a:	1210,00000
33	0,000000000E+0	0,000000000E+0	1,065264523E-1	2,519713609E+0	2,413187156E+0	4,646190418E+0	-3,000000000E+0	NaN	NaN	0,000000000E+0	18,12	1413,09	17,98	18,10	NI9205_MP6l a:	1220,00000
34	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,749594320E+0	-2,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,96	18,10	NI9205_MP7l a:	1050,00000
35	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,846104680E+0	-1,000000000E+0	NaN	NaN	0,000000000E+0	18,15	1413,09	17,96	18,10	NI9205_MP8l a:	1050,00000
36	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,938019355E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,15	1413,09	17,96	18,09	NI9205_MP9l a:	500,00000
37	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	5,024681805E+0	1,000000000E+0	NaN	NaN	0,000000000E+0	18,15	1413,09	17,96	18,11	NI9201_MP1m a:	1,00000
38	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,111672564E+0	2,000000000E+0	NaN	NaN	0,000000000E+0	18,15	1413,09	17,96	18,11	NI9201_MP2m a:	1,00000
39	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,209167918E+0	3,000000000E+0	NaN	NaN	0,000000000E+0	18,13	1413,09	17,96	18,09	NI9201_MP3m a:	1,00000
40	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	5,301082780E+0	4,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,98	18,11	NI9201_MP4m a:	1,00000
41	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,397921705E+0	5,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,98	18,10	NI9201_MP5m a:	1,00000
42	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,490164936E+0	6,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,97	18,10	NI9201_MP6m a:	1,00000
43	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	5,400547846E+0	5,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,97	18,11	NI9775_MP1r a:	1,00000
44	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,302724117E+0	4,000000000E+0	NaN	NaN	0,000000000E+0	18,17	1413,09	17,97	18,10	NI9775_MP2r a:	1,00000
45	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,209167918E+0	3,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,98	18,10	
46	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,112985632E+0	2,000000000E+0	NaN	NaN	0,000000000E+0	18,15	1413,09	17,97	18,11
47	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,025994873E+0	1,000000000E+0	NaN	NaN	0,000000000E+0	18,18	1413,09	17,98	18,10
48	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,936378021E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,16	1413,09	17,98	18,11
