Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-173114-MesureE5-120MHz
1	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	2,997643635E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,08	1413,09	17,94	18,10	E1 att:	-77,20000
2	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	2,997315371E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,09	1413,09	17,93	18,10	E1 a:	10,30171
3	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,999613218E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,09	1413,09	17,94	18,11	E1 b:	-51,73648
4	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,998300162E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,09	1413,09	17,95	18,09	E2 att:	-77,40000
5	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	2,997971898E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,09	1413,09	17,94	18,08	E2 a:	10,25929
6	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,996987107E+0	-3,000000000E+1	NaN	NaN	0,000000000E+0	18,09	1413,09	17,94	18,10	E2 b:	-51,24233
7	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,117241333E+0	-2,900000000E+1	NaN	NaN	0,000000000E+0	18,10	1413,09	17,94	18,10	E3 att:	-77,20000
8	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,220644158E+0	-2,800000000E+1	NaN	NaN	0,000000000E+0	18,11	1413,09	17,94	18,11	E3 a:	10,32683
9	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,318466543E+0	-2,700000000E+1	NaN	NaN	0,000000000E+0	18,11	1413,09	17,93	18,09	E3 b:	-51,58608
10	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,416288958E+0	-2,600000000E+1	NaN	NaN	0,000000000E+0	18,10	1413,09	17,94	18,09	E4 att:	-76,80000
11	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,505904821E+0	-2,500000000E+1	NaN	NaN	0,000000000E+0	18,11	1413,09	17,93	18,09	E4 a:	10,29834
12	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,597490291E+0	-2,400000000E+1	NaN	NaN	0,000000000E+0	18,10	1413,09	17,94	18,10	E4 b:	-51,48216
13	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,690717107E+0	-2,300000000E+1	NaN	NaN	0,000000000E+0	18,11	1413,09	17,94	18,09	E5 att:	-76,90000
14	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,795433178E+0	-2,200000000E+1	NaN	NaN	0,000000000E+0	18,10	1413,09	17,93	18,09	E5 a:	10,28806
15	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,892599223E+0	-2,100000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,93	18,10	E5 b:	-51,33708
16	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,996002315E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,11	1413,09	17,95	18,10	E6 att:	-78,20000
17	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,087587944E+0	-1,900000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,94	18,08	E6 a:	10,32523
18	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	3,182127982E+0	-1,800000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,95	18,08	E6 b:	-51,47335
19	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	3,274041941E+0	-1,700000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,95	18,09	E7 att:	-76,60000
20	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	3,379743035E+0	-1,600000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,93	18,10	E7 a:	10,35050
21	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,482489794E+0	-1,500000000E+1	NaN	NaN	0,000000000E+0	18,11	1413,09	17,93	18,08	E7 b:	-51,62198
22	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,588519244E+0	-1,400000000E+1	NaN	NaN	0,000000000E+0	18,12	1413,09	17,94	18,09	E8 att:	NaN
23	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,684044269E+0	-1,300000000E+1	NaN	NaN	0,000000000E+0	18,10	1413,09	17,95	18,10	E8 a:	NaN
