Probe	Frequency [MHz]	a [dBm / V]	b [dBm]
E1	80.0	0.09771834993402748	5.026106685694816
E1	88.0	0.097605737314295	5.023241820776911
E1	100.0	0.09736083451845841	5.021978662868949
E1	120.0	0.09706045519336713	5.021995732590676
E1	140.0	0.09673873874613416	5.014864864965145
E1	160.0	0.0963667614960836	5.003779516331382
E1	180.0	0.09614509247332503	4.988038406977197
E2	80.0	0.09797676623795648	4.9944238975905035
E2	88.0	0.09787837837724973	4.992594594581051
E2	100.0	0.09766168800429541	4.99234566145695
E2	120.0	0.09745756282401485	4.994544807974572
E2	140.0	0.09760384068457802	4.990327169298884
E2	160.0	0.09672190611964458	4.979689900472718
E2	180.0	0.09650734945451601	4.9619530583190565
E3	80.0	0.09736130867512971	4.998633001431196
E3	88.0	0.09727951635802463	4.9970298719719715
E3	100.0	0.0970775248923402	4.995362731140514
E3	120.0	0.0968300142242389	4.99528449501701
E3	140.0	0.09647486960316451	4.987671408205198
E3	160.0	0.09666642958551197	4.979943101004412
E3	180.0	0.09571724581527385	4.9586649935736276
E4	80.0	0.09775462304212879	5.003487908970325
E4	88.0	0.09752797534071142	4.999362731115564
E4	100.0	0.09731104788802625	4.997732574688661
E4	120.0	0.09708937885632513	4.9989103841137394
E4	140.0	0.09674324324127281	4.992027027035733
E4	160.0	0.09650213371039001	4.98243100993087
E4	180.0	0.09616263631344399	4.965735419545111
E5	80.0	0.09746473616607197	4.985038910353038
E5	88.0	0.09736533902126454	4.9821948790983
E5	100.0	0.09714888573390575	4.981219061239301
E5	120.0	0.09718634424186244	4.989803698469917
E5	140.0	0.09666382171448318	4.977236130876385
E5	180.0	0.09610881934969168	4.949603129503319
