Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-175116-MesureE6-180MHz
18	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,159477761E+0	-1,900000000E+1	NaN	NaN	0,000000000E+0	18,94	1413,11	18,81	18,89	E6 b:	-51,47335
19	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,258613524E+0	-1,800000000E+1	NaN	NaN	0,000000000E+0	18,96	1413,11	18,81	18,90	E7 att:	-76,60000
20	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	3,360703704E+0	-1,700000000E+1	NaN	NaN	0,000000000E+0	18,93	1413,11	18,81	18,91	E7 a:	10,35050
21	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,464106984E+0	-1,600000000E+1	NaN	NaN	0,000000000E+0	18,94	1413,11	18,80	18,91	E7 b:	-51,62198
22	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	3,566853780E+0	-1,500000000E+1	NaN	NaN	0,000000000E+0	18,94	1413,11	18,81	18,91	E8 att:	NaN
23	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	3,663691855E+0	-1,400000000E+1	NaN	NaN	0,000000000E+0	18,94	1413,11	18,79	18,91	E8 a:	NaN
24	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,757575586E+0	-1,300000000E+1	NaN	NaN	0,000000000E+0	18,93	1413,11	18,81	18,91	E8 b:	NaN
25	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	3,849818032E+0	-1,200000000E+1	NaN	NaN	0,000000000E+0	18,94	1413,11	18,79	18,90	E9 att:	NaN
26	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,952236735E+0	-1,100000000E+1	NaN	NaN	0,000000000E+0	18,92	1413,11	18,79	18,90	E9 a:	NaN
27	0,000000000E+0	0,000000000E+0	1,186679636E+0	3,109927806E+0	1,923248170E+0	4,055968548E+0	-1,000000000E+1	NaN	NaN	0,000000000E+0	18,93	1413,11	18,80	18,90	E9 b:	NaN
28	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,153791632E+0	-9,000000000E+0	NaN	NaN	0,000000000E+0	18,94	1413,11	18,79	18,92	NI9205_MP1l a:	1210,00000
29	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	4,256538747E+0	-8,000000000E+0	NaN	NaN	0,000000000E+0	18,91	1413,11	18,81	18,90	NI9205_MP2l a:	1210,00000
30	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,345498750E+0	-7,000000000E+0	NaN	NaN	0,000000000E+0	18,93	1413,11	18,80	18,90	NI9205_MP3l a:	1210,00000
31	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,432160930E+0	-6,000000000E+0	NaN	NaN	0,000000000E+0	18,94	1413,11	18,81	18,90	NI9205_MP4l a:	1210,00000
32	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,524403672E+0	-5,000000000E+0	NaN	NaN	0,000000000E+0	18,93	1413,11	18,79	18,89	NI9205_MP5l a:	1210,00000
33	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,623540047E+0	-4,000000000E+0	NaN	NaN	0,000000000E+0	18,92	1413,11	18,78	18,90	NI9205_MP6l a:	1220,00000
34	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,716439412E+0	-3,000000000E+0	NaN	NaN	0,000000000E+0	18,92	1413,11	18,80	18,89	NI9205_MP7l a:	1050,00000
35	0,000000000E+0	0,000000000E+0	1,065264523E-1	2,519713609E+0	2,413187156E+0	4,813606288E+0	-2,000000000E+0	NaN	NaN	0,000000000E+0	18,92	1413,11	18,80	18,90	NI9205_MP8l a:	1050,00000
36	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,900596946E+0	-1,000000000E+0	NaN	NaN	0,000000000E+0	18,93	1413,11	18,80	18,90	NI9205_MP9l a:	500,00000
37	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,987915912E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,93	1413,11	18,80	18,91	NI9201_MP1m a:	1,00000
38	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	5,069654381E+0	1,000000000E+0	NaN	NaN	0,000000000E+0	18,92	1413,11	18,80	18,91	NI9201_MP2m a:	1,00000
39	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	5,160256101E+0	2,000000000E+0	NaN	NaN	0,000000000E+0	18,91	1413,11	18,80	18,91	NI9201_MP3m a:	1,00000
40	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	5,259064551E+0	3,000000000E+0	NaN	NaN	0,000000000E+0	18,89	1413,11	18,80	18,91	NI9201_MP4m a:	1,00000
41	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	5,352292509E+0	4,000000000E+0	NaN	NaN	0,000000000E+0	18,91	1413,11	18,79	18,89	NI9201_MP5m a:	1,00000
42	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	5,451101070E+0	5,000000000E+0	NaN	NaN	0,000000000E+0	18,91	1413,11	18,81	18,90	NI9201_MP6m a:	1,00000
43	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	5,353277312E+0	6,000000000E+0	NaN	NaN	0,000000000E+0	18,91	1413,11	18,80	18,89	NI9775_MP1r a:	1,00000
44	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,260049353E+0	5,000000000E+0	NaN	NaN	0,000000000E+0	18,89	1413,11	18,79	18,90	NI9775_MP2r a:	1,00000
45	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	5,160256101E+0	4,000000000E+0	NaN	NaN	0,000000000E+0	18,89	1413,11	18,79	18,90	
46	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	5,068997847E+0	3,000000000E+0	NaN	NaN	0,000000000E+0	18,90	1413,11	18,78	18,87
47	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	4,985946311E+0	2,000000000E+0	NaN	NaN	0,000000000E+0	18,89	1413,11	18,79	18,89
48	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	4,901253479E+0	1,000000000E+0	NaN	NaN	0,000000000E+0	18,89	1413,11	18,78	18,89
49	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	4,816232420E+0	0,000000000E+0	NaN	NaN	0,000000000E+0	18,89	1413,11	18,78	18,89
