Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-175116-MesureE6-180MHz
1	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	2,977619540E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,97	1413,11	18,84	18,94	E1 att:	-77,20000
2	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,976963013E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,96	1413,11	18,83	18,94	E1 a:	10,30171
3	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	2,976963013E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,97	1413,11	18,83	18,93	E1 b:	-51,73648
4	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,978932596E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,96	1413,11	18,83	18,94	E2 att:	-77,40000
5	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,977947804E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,84	18,93	E2 a:	10,25929
6	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,003334130E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,82	18,91	E2 b:	-51,24233
7	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,107065184E+0	-3,000000000E+1	NaN	NaN	0,000000000E+0	18,96	1413,11	18,82	18,93	E3 att:	-77,20000
8	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,206200587E+0	-2,900000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,81	18,91	E3 a:	10,32683
9	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,304022968E+0	-2,800000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,81	18,91	E3 b:	-51,58608
10	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,401517115E+0	-2,700000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,83	18,91	E4 att:	-76,80000
11	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,501965662E+0	-2,600000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,81	18,91	E4 a:	10,29834
12	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,585016283E+0	-2,500000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,83	18,91	E4 b:	-51,48216
13	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,686121418E+0	-2,400000000E+1	NaN	NaN	0,000000000E+0	18,96	1413,11	18,81	18,88	E5 att:	-76,90000
14	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,781974371E+0	-2,300000000E+1	NaN	NaN	0,000000000E+0	18,93	1413,11	18,80	18,89	E5 a:	10,28806
15	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,884392630E+0	-2,200000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,81	18,92	E5 b:	-51,33708
16	0,000000000E+0	0,000000000E+0	5,964654390E-1	2,519713609E+0	1,923248170E+0	2,981230443E+0	-2,100000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,81	18,91	E6 att:	-78,20000
17	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,075770442E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,95	1413,11	18,82	18,91	E6 a:	10,32523
